,log_index,index,log_index_diff,pct_m
2000-01-01,-1.192499229997742,6.419493596804947,,
2000-02-01,-1.192481442801659,6.4197565223876,1.778719608291901e-05,0.004095737127696175
2000-03-01,-1.194782117562107,6.385837787577597,-0.0023006747604479294,-0.5283492402199053
2000-04-01,-1.1952707244713683,6.378657383340647,-0.0004886069092613354,-0.11244263440134405
2000-05-01,-1.196962110169871,6.353863634361133,-0.0016913856985028008,-0.38869855346471693
2000-06-01,-1.1977658142898497,6.3421160659422435,-0.0008037041199786543,-0.1848885826784108
2000-07-01,-1.1958837131309237,6.369660523682419,0.0018821011589260639,0.43431021214026533
2000-08-01,-1.1968190931947658,6.355956361841342,-0.0009353800638420839,-0.2151474445164503
2000-09-01,-1.1974865132676435,6.346196083740079,-0.000667420072877789,-0.15356112511819564
2000-10-01,-1.1967089438591956,6.357568616175589,0.0007775694084479756,0.1792023487053651
2000-11-01,-1.1988490840063755,6.326316507325699,-0.002140140147179892,-0.4915732843271625
2000-12-01,-1.1993348608396603,6.319244209546595,-0.00048577683328487886,-0.11179171593638237
2001-01-01,-1.1989857139756903,6.324326547712822,0.00034914686397002903,0.08042636109155676
2001-02-01,-1.1999761220397236,6.309920361219581,-0.0009904080640332769,-0.2277900482296924
2001-03-01,-1.199149433304591,6.321942867049775,0.0008266887351326968,0.1905334004543402
2001-04-01,-1.196256056916515,6.3642018148851855,0.0028933763880758523,0.6684487462812472
2001-05-01,-1.1959750853224416,6.368320537464224,0.00028097159407347583,0.06471703284776087
2001-06-01,-1.1991189031269138,6.322387304709793,-0.0031438178044722598,-0.7212770224772513
2001-07-01,-1.2005417055360894,6.301708274366434,-0.001422802409175583,-0.3270762980299602
2001-08-01,-1.202097753324515,6.279170079877707,-0.001556047788425552,-0.3576521398238275
2001-09-01,-1.2024266860280513,6.274416065027889,-0.0003289327035362888,-0.07571087881583782
2001-10-01,-1.2043468844732288,6.2467354732296885,-0.0019201984451775456,-0.44116602264369087
2001-11-01,-1.2057735406704524,6.226248632144715,-0.001426656197223597,-0.3279607592280964
2001-12-01,-1.2061038727982938,6.221514637009312,-0.0003303321278413929,-0.0760328636887575
2002-01-01,-1.1962596089198927,6.364149763627706,0.009844263878401094,2.2926109627696034
2002-02-01,-1.1828304629277664,6.564014580521257,0.013429145992126301,3.1404794719919193
2002-03-01,-1.1659830709563956,6.8236529260683385,0.01684739197137075,3.9554809387163603
2002-04-01,-1.1230586879260236,7.5325376670372854,0.04292438303037205,10.38864005320086
2002-05-01,-1.1059804830728677,7.834648504040202,0.01707820485315592,4.010744457674198
2002-06-01,-1.0905284159433304,8.118421282638725,0.015452067129537284,3.6220230997240366
2002-07-01,-1.0768964741799887,8.377289536504628,0.013631941763341704,3.188652631509714
2002-08-01,-1.0668427222374268,8.573482737774416,0.010053751942561862,2.34196514773497
2002-09-01,-1.0610157025902545,8.6892901124287,0.00582701964717236,1.3507623237408728
2002-10-01,-1.0600675082702973,8.708282148170666,0.0009481943199571852,0.21856832372071366
2002-11-01,-1.0578619688213273,8.752619142362384,0.002205539448969951,0.5091359402155993
2002-12-01,-1.0570495032442413,8.769008615230362,0.0008124655770860301,0.1872522110399455
2003-01-01,-1.0513574337615832,8.88469587159815,0.005692069482658102,1.3192740644234258
2003-02-01,-1.0489061530877684,8.934985394209345,0.0024512806738148374,0.5660241311349345
2003-03-01,-1.0463783274606557,8.987143423499303,0.002527825627112623,0.5837505825555978
