Q,index
2000-02-15,6.408362635590045
2000-05-15,6.3582123612146715
2000-08-15,6.3572709897546105
2000-11-15,6.334376444349291
2001-02-15,6.318729925327389
2001-05-15,6.351636552353064
2001-08-15,6.28509813975734
2001-11-15,6.231499580794569
2002-02-15,6.58393909007243
2002-05-15,7.8285358179054
2002-08-15,8.54668746223591
2002-11-15,8.74330330192113
2003-02-15,8.93560822976893
2003-05-15,8.966558708254958
2003-08-15,8.99233965159642
2003-11-15,9.069767009303888
2004-02-15,9.152448429839014
2004-05-15,9.333288734564993
2004-08-15,9.475846896503517
2004-11-15,9.590866829057466
2005-02-15,9.900175865599039
2005-05-15,10.153389662348983
2005-08-15,10.40864991879471
2005-11-15,10.796760124478979
2006-02-15,11.085634859291678
2006-05-15,11.306038627835695
2006-08-15,11.465212192314636
2006-11-15,11.726465876864694
2007-02-15,12.070418758460733
2007-05-15,12.72232567297806
2007-08-15,13.754191917880869
2007-11-15,14.296285465683093
2008-02-15,15.08233658953794
2008-05-15,16.220702080839356
2008-08-15,16.877034645854042
2008-11-15,17.242042237435328
2009-02-15,17.665872087201887
2009-05-15,18.40300785951318
2009-08-15,19.035811521253766
2009-11-15,20.031455638747733
2010-02-15,21.787764431827128
2010-05-15,23.1078597418378
2010-08-15,24.03322674034199
2010-11-15,25.630715436321143
2011-02-15,26.79353860339432
2011-05-15,28.540250080664546
2011-08-15,30.165292360740988
2011-11-15,31.614487047926726
2012-02-15,33.2144524705663
2012-05-15,35.40264047505865
2012-08-15,38.68078644424632
2012-11-15,40.61245225458088
2013-02-15,42.91381832663662
2013-05-15,45.36170535194401
2013-08-15,49.795736504522786
2013-11-15,53.214499668217435
2014-02-15,59.82611090256751
2014-05-15,65.46996049345411
2014-08-15,69.81040636279164
2014-11-15,73.71651429106515
2015-02-15,77.72429553997081
2015-05-15,82.05198321330002
2015-08-15,86.52020080775632
2015-11-15,92.42820916868264
2016-02-15,103.24784844363313
2016-05-15,115.99376394180688
2016-08-15,122.73389029083906
2016-11-15,128.94026552599698
2017-02-15,136.0554954699563
2017-05-15,144.9715513110075
2017-08-15,151.77751573565513
2017-11-15,159.73667261177602
2018-02-15,170.85118996056985
2018-05-15,184.71037469923158
2018-08-15,205.796374370918
2018-11-15,235.31113865983653
2019-02-15,260.04915932285394
2019-05-15,288.0708670842832
2019-08-15,316.0483356796093
2019-11-15,356.37881992319853
2020-02-15,390.45083123263925
2020-05-15,412.68226658377233
2020-08-15,438.0299421231122
2020-11-15,481.66262865708677
2021-02-15,544.5466643810206
2021-05-15,608.252165460675
2021-08-15,663.7516679146307
2021-11-15,727.6026417801517
2022-02-15,834.232124797084
2022-05-15,985.9471345532842
2022-08-15,1180.050272901786
2022-11-15,1396.5165163284173
2023-02-15,1668.9414013550788
2023-05-15,2054.0016825617963
2023-08-15,2636.393454402498
2023-11-15,3817.503948346933
2024-02-15,6254.820677109616
2024-05-15,7733.736277775075
2024-08-15,8700.216227330187
2024-11-15,9489.189145634702
2025-02-15,10294.629387511168
2025-05-15,11094.634007539868
2025-08-15,11864.365370414447
2025-11-15,12762.911388662926
